name,lat,lon
Duberdanga,,
Barashal Shrirampur,,
BaraLachhipur,,
Rajarampur,,
Lalpur Bara,,
Palajuriya,,
Dhabani,,
Panktor,,
Basudebpur,,
Chaushal,,
Adwitpur,,
Shrichandrapur,,
Ghanashyampur,,
Phuljam,,
Anandapur,,
Brajarajpur,,
Chaitanyapur,,
Dethol,,
Chandipur,,
Nityanandapur,,
Subirara,,
Sarangpur,,
Bankdaha,,
Pheguashol,,
Hadalbani,,
Latiabani,,
Machhbanda,,
Benagari,,
Nidhirampur,,
Damra,,
Pachamba,,
Madanpur,,
Gopinathpur,,
Dumuria,,
Nandanpur,,
Deuli,,
Bhalukathol,,
Gobindapurbaid,,
Mukundabaid,,
Ban Ashuria,,
Beldanga,,
Kusthalia,,
Narayanpur,,
Sudarshanpur,,
Kalipur,,
Chhotalalpur,,
Chhota Nabagram,,
Chururi,,
Raidihi,,
Jenadihi,,
Bishinda,,
Pramanik Kunri,,
Chak Rangametya,,
Rangametya,,
Kelai,,
Kenthalya,,
Rajamela,,
Balikhun,,
Sidara,,
Lachhmanpur,,
Bharadihi,,
Bara Rampur,,
Sagarya,,
Nutangram,,
Khajuri,,
Jamshala,,
Chhoto Lachhipur,,
Nadihi,,
Bamundiha,,
Chholabaid,,
Hanribhanga,,
Shuyabasa,,
Keshiara,,
Itadangra,,
Mallikdihi,,
Garjuria,,
Ukhradihi,,
Bhaktabandh,,
Jambedya,,
Shirsha,,
Taljhitka,,
Lakhyara,,
Ekchala,,
Ranganathpur,,
Mukundapur,,
Gurachhanda,,
Amladahi,,
Khayerboni,,
Pankua,,
Amjor,,
Machaparulia,,
Gobindadham,,
Mautara,,
Thumkora,,
Ranbahal,,
Selera,,
Konra,,
Maraya,,
Bhairabpur,,
Mandi,,
Gangajalghati,,
Belarmari,,
Chhota Kumira,,
Kenduadihi,,
Nabagram,,
Kot  Madanmohanpur,,
Kapistha,,
Subarnator,,
Nishchintapur,,
Shaltora,,
Shalbedya,,
Madhabpur,,
Kallapur,,
Ramnagar,,
Suarara,,
Radhashyampur,,
Sankarara,,
Brahmanara,,
Charadihi,,
Rampur,,
Jemua,,
Jambedya,,
Bhiringgi,,
Barajuri,,
Dandulya,,
Ramkanali,,
Kenduabari,,
Arbat,,
Asanchua,,
Arjunpur,,
Biharjurya,,
Harekrishnapur,,
Brindabanpur,,
Atarya,,
Gobarddhanpur,,
Pirraboni,,
Dhabani Gobindapur,,
Radhakrishnapur,,
Gopinathpur,,
Tentuliadanga,,
Bhattapara,,
Raniyara,,
Arbetal,,
Khopaganj,,
Birra,,
Balijora,,
Gopalpur,,
Kantabani,,
Maldanga,,
Shimlagar,,
Menjua,,
Abhirampur,,
Shrirampur,,
Tilashuti,,
Bhalukapahari,,
Bayermara,,
Kuldiha,,
Pingrui,,
Napara,,
Tentulapoha,,
Maliara,,
Naricha,,
Bhabanipur,,
Manohar,,
Barapukhuriya,,
Baguli,,
Tikargram,,
Chak kulbona,,
Metyali,,
Nutangram,,
Pratappur,,
Seetarampur,,
Shalgara,,
Gokulmothura,,
Kishoripur,,
Jayasinhapur,,
Pathrajuri,,
Kadashol,,
Kamarshol,,
Ghutgarya,,
Nambandh Sitarampur,,
Saharjora,,
Chak Arabad,,
Muktatore,,
Beleshola,,
Chak Keshya,,
Shitala,,
Kochkunda,,
Baliguma,,
Sankarara,,
Manjmura,,
Manoharbati,,
Kanchanpur,,
Pabayan,,
Dakaisini,,
Khanrari,,
Uara,,
Deucha,,
Dejuri,,
Birsinhapur,,
Sonergram,,
Barjora,,
Ronagalejora,,
Shyampur,,
Bhagabanpur,,
Raghunathpur,,
Paharpur,,
Krishnanagar,,
Bilmalpur,,
Bamandihi,,
Purakonda,,
Tajpur,,
Pakhanna Bhairabpur,,
Pakhanna,,
Gopalpur,,
Radhakantapur,,
Kamalpur,,
Pakhannapratappur,,
Palashboni,,
Shitalpur,,
Suratpur,,
Chandai,,
Kusumgarya,,
Tajpur Rampur,,
Balrampur(Purbba),,
Rajmadhabpur,,
Basuda,,
Rajprasadpur,,
Bhairabpur Paschim,,
Kamala,,
Basudebpur Uttar,,
Harinagara,,
Shaldanga,,
Hat Ashuriya,,
Mandarbani,,
Managram,,
Dewangarya,,
Sarali,,
Madanhati,,
Nunuigarya,,
Behargarya,,
Gururbaid,,
Kotalpukur,,
Radhaballabhpur,,
Arjuni,,
Mahidhara,,
Krishnabati,,
Gaurmohanpur,,
Naykona,,
Radhanagar,,
Payermohan,,
Shushuniya,,
Sahebdihi,,
Bishanpur,,
Ashuriya Madhabpur,,
Harirampur,,
Talanjuri,,
Kantabaid,,
Kalpaini,,
Banshol,,
Dharampur,,
Dhwaja Monipur,,
Nirisha,,
Phulberya,,
Damodarpur,,
Enayetpur,,
Kanchchhala,,
Kururiya,,
Kururiya Balarampur,,
Malkuriya,,
Ekarya,,
Majuddagara,,
Saragara,,
Gobindapur (JL 144),,
Jharia,,
Lalbajar,,
Nabasan,,
Chhandar,,
Gobindapur (JL 152),,
Murakata,,
Pataspur,,
Bhabarkhola,,
Chandoibot-Ramchandrapur,,
Pashchim-Brindabanpur,,
Palsona,,
Shiraha,,
Salika,,
Joykrishnapur Sarenga,,
Ramharipur,,
Barabendya,,
Jorshal,,
Dhengakend,,
Ladna,,
Methena,,
Kushma,,
Joytunga,,
Chandanpur,,
Swargabati,,
Harishpur,,
Gopinathpur,,
Brindabanpur,,
Shyamdaspur,,
Amthia,,
Gosainpur,,
Bankurardanga,,
Belut,,
Shaldanga,,
Jagannathpur,,
Purushottampur,,
Asansola,,
Muktapur,,
Kodma,,
Badar Konda,,
Krishnapur,,
Benachapra,,
Mathuraberia,,
Bhairabdanga,,
Bhairabpur,,
Rautara,,
Bajikura,,
Mathuradanga,,
Rajmadhabpur,,
Radhakantapur,,
Shrikrishnapur,,
Kantabeshe,,
Nityanandapur,,
Gangabandh,,
Saulia,,
Dunda,,
Krishnanagar,,
Chhaguliya,,
Chandramanipur,,
Khapakata,,
Hirapur,,
Bhola,,
