0,1,2,3,4,5,6,7,8
294,112,,,4,7,40,2016-04-06 10:10:00.924198,2016-04-06 10:10:00.924198
295,112,,,5,9,28,2016-04-06 10:10:18.211791,2016-04-06 10:10:18.211791
296,112,,,5,8,24,2016-04-06 10:10:31.997834,2016-04-06 10:10:31.997834
297,112,,,5,7,20,2016-04-06 10:10:43.795352,2016-04-06 10:10:43.795352
298,112,,,6,9,28,2016-04-06 10:10:57.797296,2016-04-06 10:10:57.797296
299,112,,,6,8,24,2016-04-06 10:11:07.728451,2016-04-06 10:11:07.728451
300,112,,,6,7,20,2016-04-06 10:11:19.657361,2016-04-06 10:11:19.657361
301,168,,,4,9,56,2016-04-06 10:11:51.105202,2016-04-06 10:11:51.105202
302,168,,,4,8,48,2016-04-06 10:12:04.502532,2016-04-06 10:12:04.502532
303,168,,,4,7,40,2016-04-06 10:12:23.807624,2016-04-06 10:12:23.807624
304,168,,,5,9,28,2016-04-06 10:12:35.968664,2016-04-06 10:12:35.968664
305,168,,,5,8,24,2016-04-06 10:12:47.043343,2016-04-06 10:12:47.043343
306,168,,,5,7,20,2016-04-06 10:13:02.117255,2016-04-06 10:13:02.117255
307,168,,,6,9,28,2016-04-06 10:13:16.582437,2016-04-06 10:13:16.582437
308,168,,,6,8,24,2016-04-06 10:13:47.161991,2016-04-06 10:13:47.161991
309,168,,,6,7,20,2016-04-06 10:14:25.872350,2016-04-06 10:14:25.872350
310,118,,,4,9,52,2016-04-22 05:13:40.641595,2016-04-22 05:13:40.641595
311,118,,,4,8,48,2016-04-22 05:14:00.821429,2016-04-22 05:14:00.821429
312,118,,,4,7,40,2016-04-22 05:14:21.186597,2016-04-22 05:14:21.186597
313,118,,,5,9,26,2016-04-22 05:14:44.868899,2016-04-22 05:14:44.868899
314,118,,,5,8,24,2016-04-22 05:14:56.632812,2016-04-22 05:14:56.632812
315,118,,,5,7,20,2016-04-22 05:15:12.148724,2016-04-22 05:15:12.148724
316,118,,,6,9,26,2016-04-22 05:15:38.578794,2016-04-22 05:15:38.578794
317,118,,,6,8,24,2016-04-22 05:15:58.062278,2016-04-22 05:15:58.062278
318,118,,,6,7,20,2016-04-22 05:16:26.302153,2016-04-22 05:16:26.302153
319,202,,,4,9,52,2016-04-22 05:16:45.423923,2016-04-22 05:16:45.423923
