id,crop_reference_id,nitrogen,phosphorus,potassium,sulphur,zinc,boron,iron,manganese,copper,organic_manure,biofertiliser,lime,gypsum,created_at,updated_at,result_id,mixed_fertilizer_urea,mixed_fertilizer_ssp,mixed_fertilizer_mop,mixed_fertilizer_required
3525,167,174,375,100,8 kg/ acre at land preparation,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:05:39.143302,2016-05-02 06:54:50.435881,1165,123,0,0,231
3524,114,122,163,47,8 kg/ acre at land preparation,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:05:39.126597,2016-05-02 06:54:50.445862,1165,100,0,3,100
3515,60,52,63,23,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:01:36.294881,2016-05-02 06:54:50.550335,1161,44,0,6,39
3514,115,43,63,17,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:01:36.283377,2016-05-02 06:54:50.559767,1161,35,0,0,39
3513,169,104,150,40,,10 kg/ acre at land preparation,0.1 % Disodium octaborate tetrahydrate @250 l/ ha at 3rd week and 500 l /ha at 6th week of sowing ,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:01:36.270784,2016-05-02 06:54:50.569297,1161,84,0,0,92
3499,114,113,150,43,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 09:56:01.349667,2016-05-02 06:54:50.997104,1156,93,0,3,92
3498,195,17,50,27,,,0.1 % Disodium octaborate tetrahydrate  on 4th week @ 250-300 l/ ha,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 09:56:01.331757,2016-05-02 06:54:51.007091,1156,11,0,13,31
3473,60,52,75,23,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:33.482505,2016-05-02 06:54:51.962880,1146,42,0,3,46
3472,61,43,63,17,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:33.469148,2016-05-02 06:54:51.976013,1146,35,0,0,39
3471,117,52,75,27,,,0.1 % Disodium octaborate tetrahydrate @100 l/ acre at 3rd week and 200 l /acre at 6th week of sowing,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:33.457660,2016-05-02 06:54:51.989282,1146,42,0,7,46
3470,168,104,150,47,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:33.446739,2016-05-02 06:54:52.002421,1146,84,0,7,92
3469,167,174,375,100,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:33.436575,2016-05-02 06:54:52.015698,1146,123,0,0,231
3468,114,113,163,47,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:33.425270,2016-05-02 06:54:52.029066,1146,91,0,3,100
3461,114,122,163,47,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:45:07.106819,2016-05-02 06:54:52.137599,1144,100,0,3,100
3460,195,26,100,40,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:45:07.097939,2016-05-02 06:54:52.150845,1144,13,0,13,62
3459,60,61,88,23,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:44:23.395492,2016-05-02 06:54:52.171839,1143,49,0,0,54
3458,61,43,63,17,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:44:23.351663,2016-05-02 06:54:52.186412,1143,35,0,0,39
3457,117,69,100,27,,,0.1 % Disodium octaborate tetrahydrate @100 l/ acre at 3rd week and 200 l /acre at 6th week of sowing,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:44:23.322560,2016-05-02 06:54:52.200894,1143,56,0,0,62
3456,167,174,375,100,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:44:23.299944,2016-05-02 06:54:52.215470,1143,123,0,0,231
3455,114,122,175,47,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:44:23.272771,2016-05-02 06:54:52.234545,1143,98,0,0,108
3695,60,52,75,23,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:58:09.241697,2016-05-02 06:54:47.992971,1220,42,0,3,46
3694,115,43,63,17,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:58:09.225299,2016-05-02 06:54:48.002088,1220,35,0,0,39
3693,169,104,150,40,,10 kg/ acre at land preparation,0.1 % Disodium octaborate tetrahydrate @250 l/ ha at 3rd week and 500 l /ha at 6th week of sowing ,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:58:09.206103,2016-05-02 06:54:48.011216,1220,84,0,0,92
3626,114,122,175,43,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 10:38:36.968858,2016-05-02 06:54:48.781665,1196,100,13,0,100
3586,60,52,63,23,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:22:55.100321,2016-05-02 06:54:49.411844,1183,44,0,6,39
3735,60,61,75,17,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 11:06:11.023399,2016-05-02 06:54:47.522648,1231,52,12,0,39
3585,115,43,63,17,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:22:55.079415,2016-05-02 06:54:49.422221,1183,35,0,0,39
3584,168,104,125,47,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:22:55.057139,2016-05-02 06:54:49.431773,1183,87,0,13,77
3487,114,122,163,40,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 09:51:25.463942,2016-05-02 06:54:51.140840,1152,102,13,0,92
