id,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,sulpher,zinc,boron,iron,manganese,copper,test_id,created_at,updated_at,ph_rating,ec_rating,oc_rating,n_rating,p_rating,k_rating,s_rating,zn_rating,b_rating,fe_rating,mn_rating,cu_rating,mixed_fertilizer_rate_id,zn_rw_rating,user_id,shc_lang_version,distributed,soil_health_cards_count
45227,3.5,0.08,0.63,232.344,145.0,245.0,17.06,0.88,0.06,23.6,5.42,2.62,62680,2016-07-14 18:29:59.999999,2016-07-14 12:58:10.425290,1,5,8,9,7,8,7,10,11,10,10,10,1,10,,bn,1.0,3
45228,3.8,0.09,0.53,195.464,155.0,120.0,15.03,0.68,0.09,21.6,6.72,1.95,62681,2016-07-14 18:29:59.999999,2016-07-14 12:58:10.761429,1,5,8,9,7,9,7,10,11,10,10,10,1,11,,bn,1.0,6
45229,3.2,0.07,0.52,191.776,198.0,280.0,7.85,0.64,0.05,23.4,5.36,1.06,62682,2016-07-14 18:29:59.999999,2016-07-14 12:58:11.085710,1,5,8,9,7,8,9,10,11,10,10,10,1,11,,bn,1.0,5
45230,3.5,0.32,0.63,232.344,325.0,195.0,9.39,0.56,0.08,26.5,4.82,1.32,62683,2016-07-14 18:29:59.999999,2016-07-14 12:58:11.576867,1,5,8,9,7,9,9,11,11,10,10,10,1,11,,bn,1.0,7
45231,3.4,0.06,0.98,361.424,225.0,325.0,10.86,0.28,0.09,23.9,4.95,3.86,62684,2016-07-14 18:29:59.999999,2016-07-14 12:58:11.985690,1,5,7,8,7,8,8,11,11,10,10,10,1,11,,bn,1.0,4
45232,4.9,0.16,0.72,265.536,312.0,290.0,15.43,0.36,0.92,20.21,4.72,3.62,62685,2016-07-14 18:29:59.999999,2016-07-14 12:58:12.316968,1,5,8,9,7,8,7,11,10,10,10,10,1,11,,bn,1.0,2
45233,5.0,0.04,0.99,365.112,254.0,430.0,14.45,0.5,0.04,21.5,6.22,2.27,62686,2016-07-14 18:29:59.999999,2016-07-14 12:58:12.573437,1,5,7,8,7,7,8,11,11,10,10,10,1,11,,bn,1.0,2
45234,5.3,0.04,0.82,302.416,112.0,325.0,12.75,0.34,0.27,25.62,4.51,3.99,62687,2016-07-14 18:29:59.999999,2016-07-14 12:58:12.834608,1,5,7,8,7,8,8,11,11,10,10,10,1,11,,bn,1.0,2
45235,4.5,0.05,0.81,298.728,120.0,610.0,18.15,0.62,0.73,15.53,4.15,4.85,62688,2016-07-14 18:29:59.999999,2016-07-14 12:58:13.189385,1,5,7,8,7,7,7,10,10,10,10,10,1,11,,bn,1.0,4
45236,5.1,0.1,1.05,387.24,452.0,285.0,6.35,1.51,0.34,16.84,5.61,2.62,62689,2016-07-14 18:29:59.999999,2016-07-14 12:58:13.489478,1,5,7,8,7,8,9,10,11,10,10,10,1,10,,bn,1.0,2
45237,5.2,0.13,0.99,365.112,311.0,455.0,6.54,0.39,0.55,20.95,6.05,2.51,62690,2016-07-14 18:29:59.999999,2016-07-14 12:58:13.734901,1,5,7,8,7,7,9,11,10,10,10,10,1,11,,bn,1.0,2
45238,5.1,0.15,1.0,368.8,341.0,225.0,5.75,0.4,0.34,18.15,7.07,1.81,62691,2016-07-14 18:29:59.999999,2016-07-14 12:58:13.977786,1,5,7,8,7,8,9,11,11,10,10,10,1,11,,bn,1.0,2
45239,4.8,0.05,0.71,261.848,278.0,390.0,7.57,1.12,0.13,19.61,4.22,3.05,62692,2016-07-14 18:29:59.999999,2016-07-14 12:58:14.262918,1,5,8,9,7,7,9,10,11,10,10,10,1,10,,bn,1.0,1
45240,4.3,0.06,0.83,306.104,281.0,570.0,5.45,1.53,0.09,21.35,3.05,2.92,62693,2016-07-14 18:29:59.999999,2016-07-14 12:58:14.652051,1,5,7,8,7,7,9,10,11,10,10,10,1,10,,bn,1.0,4
45241,4.8,0.03,0.7,258.16,311.0,290.0,11.45,1.05,0.07,22.82,6.52,3.0,62694,2016-07-14 18:29:59.999999,2016-07-14 12:58:15.263399,1,5,8,9,7,8,8,10,11,10,10,10,1,10,,bn,1.0,2
45242,4.8,0.04,0.85,313.48,326.0,510.0,6.75,0.39,0.69,23.41,5.35,2.71,62695,2016-07-14 18:29:59.999999,2016-07-14 12:58:15.953753,1,5,7,8,7,7,9,11,10,10,10,10,1,11,,bn,1.0,5
