0,1,2,3,4,5
4066,Belan,073,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4067,Noncompany H.S.residential (B),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4068,ADDA BLOCK-29,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4069,Parashia,074,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4070,Noncompany H.S.residential (C),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4071,Khanhati,074,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4072,ADDA BLOCK-30,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4073,Noncompany H.S.residential (D),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4074,Mahara,075,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4075,ADDA BLOCK-31,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4076,Mallickpur,076,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4077,Commercial Area(City Centre),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4078,Bakta,077,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4079,ADDA BLOCK-32,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4080,Commercial (A),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4081,Professional-cum-Resi.(B),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4082,ADDA BLOCK-33,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4083,Namokesia(078),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4084,Garamba,078,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4085,Doctors Colony & Extn.(C),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4086,ADDA BLOCK-34,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4087,Shyamdihi,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4088,Dakshin Bhasapur,079,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4089,Mithapur,080,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4090,Commercial Area South G.T.Rd.,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4091,ADDA BLOCK-35,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4092,Institutional Area(City Centre),000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4093,ADDA BLOCK-36,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4094,ADDA BLOCK-37,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4095,Durgapur City Cen.(B.S.I.D)comm.space kamdhenu,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4096,ADDA BLOCK-38,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4097,Durgapur City Cen.(B.S.I.D)comm.space kalpotaru,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4098,Baramuri,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4099,ADDA BLOCK-39,000,23,2015-11-04 18:29:30,2015-11-04 18:29:30
4100,Durgapur City Cen.(B.S.I.D)comm.space Dreamplex,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4101,Budra,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
4102,ADDA BLOCK-40,000,23,2015-11-04 18:29:31,2015-11-04 18:29:31
