id,name,jl_number,block_id
2445,Asardda,232,14.0
2446,Chandpara,233,14.0
2447,Budha Kalsapa,234,14.0
2448,Belbani,235,14.0
2449,Amchurya,236,14.0
2450,Benakata,237,14.0
2451,Patlurki,238,14.0
2452,Demushunya,239,14.0
2453,Satpatta,240,14.0
2454,Mandalkuli,241,14.0
2455,Madanpur,242,14.0
2456,Asurgerya,243,14.0
2457,Belpahari,244,14.0
2458,Amritpal,245,14.0
2459,Dudhya,246,14.0
2460,Magra,247,14.0
2461,Garpahar,248,14.0
2462,Raspal,249,14.0
2463,Debashol,250,14.0
2464,Ghatushol,251,14.0
2465,Shushunia,252,14.0
2466,Banshinala,253,14.0
2467,Hatkata,254,14.0
2468,Barpaya,255,14.0
2469,Baragari,256,14.0
2470,Thakurbari,257,14.0
2471,Sagarchaka,258,14.0
2472,Kamalpur,259,14.0
2473,Chapapal,260,14.0
2474,Dhekikata,261,14.0
2475,Dangarsai,262,14.0
2476,Kumarara,263,14.0
2477,Nepura,264,14.0
2478,Banshkana,265,14.0
2479,Kenduapara,266,14.0
2480,Kadamdiha,267,14.0
2481,Chelepara,268,14.0
2482,Laupara,269,14.0
2483,Kukrajuri,270,14.0
2484,Madhupur,271,14.0
2485,Saltora,272,14.0
2486,Kenduadangri,273,14.0
2487,Babaida,274,14.0
2488,Benasuli,275,14.0
2489,Jadabpur,276,14.0
2490,Nehilya,277,14.0
2491,Phulberia,278,14.0
2492,Dhanara,279,14.0
2493,Penchakola,298,14.0
2494,Dubli,299,14.0
2495,Kharkashuli,300,14.0
2496,Gopalpur,301,14.0
2497,Maroshol,302,14.0
2498,Raghunathpur,303,14.0
2499,Akhuapal,304,14.0
2500,Patmauli,305,14.0
2501,Junbani,306,14.0
2502,Jamda,307,14.0
2503,Shubnabandi,308,14.0
2504,Krishnanagar,309,14.0
2505,Narayanpur,310,14.0
2506,Shirishbani,311,14.0
2507,Chamtabaid,312,14.0
2508,Phulkusma,313,14.0
2509,Namoshol,314,14.0
2510,Mandaldiha,315,14.0
2511,Dhau,316,14.0
2512,Benagerya,317,14.0
2513,Pakdihi,318,14.0
2514,Melera,319,14.0
2515,Barkala,320,14.0
2516,Dharmmapur,321,14.0
2517,Shirsa,322,14.0
2518,Maulashol,323,14.0
2519,Lurka,324,14.0
2520,Gochda,325,14.0
2521,Lagda,326,14.0
2522,Chaka,327,14.0
2523,Poshda,328,14.0
2524,Murachhara,329,14.0
2525,Dheko,330,14.0
2526,Chorkul,331,14.0
2527,Golor,332,14.0
2528,Baksi,333,14.0
2529,Khayerbani,334,14.0
